Date,Origin,Destination,Transport Mode,Quantity,Commodity
2022-07-10,Mine C,Plant 2,Rail,345,Coal
2018-07-01,Mine D,Plant 1,Rail,766,Coal
2020-09-27,Mine A,Plant 1,Truck,713,Coal
2018-09-23,Mine B,Plant 2,Barge,385,Coal
2021-11-14,Mine D,Plant 3,Truck,973,Coal
2020-04-12,Mine D,Plant 4,Barge,157,Coal
2022-10-16,Mine C,Plant 2,Barge,396,Coal
2021-04-04,Mine B,Plant 2,Barge,505,Coal
2019-12-01,Mine B,Plant 2,Truck,458,Coal
2020-06-21,Mine C,Plant 4,Rail,753,Coal
2017-10-15,Mine B,Plant 1,Barge,196,Coal
2017-01-29,Mine D,Plant 2,Barge,185,Coal
2018-02-04,Mine D,Plant 4,Rail,228,Coal
2022-10-16,Mine A,Plant 2,Rail,678,Coal
2022-07-31,Mine D,Plant 2,Barge,436,Coal
2021-06-13,Mine C,Plant 2,Barge,499,Coal
2017-02-12,Mine C,Plant 3,Barge,595,Coal
2018-03-11,Mine C,Plant 4,Truck,681,Coal
2017-04-16,Mine B,Plant 2,Truck,848,Coal
2019-05-12,Mine A,Plant 2,Rail,467,Coal
2019-12-29,Mine D,Plant 1,Barge,327,Coal
2018-03-25,Mine A,Plant 1,Truck,433,Coal
2021-08-08,Mine B,Plant 3,Barge,897,Coal
2022-10-02,Mine D,Plant 3,Barge,495,Coal
2018-02-25,Mine B,Plant 3,Rail,474,Coal
2021-08-29,Mine D,Plant 2,Rail,696,Coal
2020-07-19,Mine B,Plant 3,Barge,426,Coal
2020-04-19,Mine A,Plant 4,Barge,579,Coal
2020-08-30,Mine C,Plant 3,Truck,759,Coal
2021-04-18,Mine B,Plant 2,Truck,999,Coal
2020-05-31,Mine B,Plant 1,Barge,308,Coal
2019-10-06,Mine D,Plant 1,Barge,982,Coal
2018-04-01,Mine D,Plant 4,Rail,755,Coal
2020-08-30,Mine D,Plant 4,Rail,545,Coal
2018-07-01,Mine D,Plant 3,Rail,275,Coal
2022-12-18,Mine B,Plant 3,Rail,905,Coal
2022-11-27,Mine C,Plant 3,Barge,524,Coal
2022-10-23,Mine D,Plant 4,Barge,913,Coal
2019-08-18,Mine D,Plant 2,Truck,955,Coal
