,Server_Type,Electricity_Rate_USD_per_kWh,Hours_Operated,Power_Usage_Watts,Electricity_Cost_USD
0,Type E,0.2,3000,1250,750.0
1,Type C,0.12,3000,765,275.4
2,Type E,0.1,4000,652,260.8
3,Type A,0.25,1000,1490,372.5
4,Type B,0.12,5000,1407,844.2
5,Type A,0.25,1000,634,158.5
6,Type E,0.12,5000,1235,741.0
7,Type B,0.12,5000,1241,744.6
8,Type E,0.12,3000,1180,424.8
9,Type A,0.1,4000,999,399.6
10,Type B,0.12,1000,717,86.04
11,Type D,0.25,2000,589,294.5
12,Type D,0.15,5000,509,381.75
13,Type D,0.1,2000,863,172.6
14,Type B,0.25,1000,703,175.75
15,Type B,0.1,5000,750,375.0
16,Type A,0.15,1000,1212,181.8
17,Type B,0.25,3000,559,419.25
18,Type C,0.1,5000,1194,597.0
19,Type C,0.1,1000,557,55.7
20,Type D,0.12,1000,1212,145.44
21,Type E,0.1,2000,971,194.2
22,Type A,0.15,1000,1104,165.6
23,Type C,0.25,3000,1190,892.5
24,Type E,0.2,5000,1488,1488.0
25,Type B,0.2,3000,1478,886.8
26,Type B,0.12,1000,1055,126.6
27,Type A,0.15,4000,1090,654.0
28,Type A,0.2,5000,520,520.0
29,Type C,0.25,3000,552,414.0
30,Type B,0.15,2000,1158,347.4
31,Type D,0.1,2000,852,170.4
32,Type B,0.2,2000,997,398.8
33,Type B,0.15,3000,1104,496.8
34,Type E,0.12,1000,1022,122.64
35,Type D,0.12,4000,890,427.2
36,Type B,0.2,3000,1171,702.6
37,Type D,0.2,5000,613,613.0
38,Type B,0.25,2000,689,344.5
39,Type E,0.25,5000,644,805.0
40,Type E,0.15,4000,1377,826.2
41,Type A,0.25,5000,996,1245.0
42,Type C,0.25,2000,1320,660.0
43,Type E,0.1,4000,1399,559.6
44,Type E,0.15,1000,997,149.55
45,Type A,0.2,2000,663,265.2
46,Type E,0.25,2000,693,346.5
47,Type C,0.15,4000,688,412.8
48,Type C,0.2,1000,700,140.0
49,Type A,0.2,5000,1237,1237.0
50,Type B,0.25,4000,1064,1064.0
51,Type B,0.15,4000,1374,824.4
52,Type B,0.15,3000,538,242.1
53,Type A,0.12,3000,509,183.24
54,Type B,0.12,1000,1188,142.56
55,Type D,0.1,5000,1201,600.5
56,Type A,0.25,2000,1290,645.0
57,Type B,0.2,5000,972,972.0
58,Type D,0.1,2000,1396,279.2
59,Type B,0.25,3000,1088,816.0
60,Type E,0.1,1000,715,71.5
61,Type E,0.2,4000,655,524.0
62,Type B,0.12,3000,1032,371.52
63,Type D,0.12,1000,1396,167.52
64,Type C,0.2,5000,766,766.0
65,Type B,0.1,4000,932,372.8
66,Type A,0.15,3000,1024,460.8
67,Type E,0.2,2000,743,297.2
