Date,Origin,Destination,Transport Mode,Quantity
2020-08-23,Warehouse B,Market 2,Air,159
2022-02-13,Warehouse A,Market 2,Rail,458
2019-04-14,Warehouse A,Market 1,Rail,423
2020-07-12,Warehouse A,Market 1,Ship,112
2020-09-27,Warehouse B,Market 1,Rail,450
2018-01-07,Warehouse A,Market 3,Truck,383
2017-05-21,Warehouse B,Market 3,Rail,272
2021-10-10,Warehouse B,Market 3,Truck,294
2021-12-19,Warehouse A,Market 3,Truck,242
2017-05-07,Warehouse A,Market 2,Ship,364
2022-04-10,Warehouse B,Market 3,Truck,368
2021-01-17,Warehouse B,Market 3,Truck,116
2022-10-09,Warehouse C,Market 2,Truck,16
2021-03-28,Warehouse A,Market 3,Ship,232
2022-12-04,Warehouse B,Market 2,Air,347
2017-05-14,Warehouse C,Market 2,Ship,481
2022-05-29,Warehouse A,Market 1,Truck,318
2021-09-26,Warehouse C,Market 2,Air,492
2017-11-19,Warehouse B,Market 3,Truck,255
2017-06-18,Warehouse C,Market 2,Rail,429
2020-02-02,Warehouse B,Market 2,Truck,66
2017-08-20,Warehouse C,Market 1,Rail,80
2020-10-11,Warehouse A,Market 2,Ship,81
2020-04-19,Warehouse C,Market 1,Rail,274
2019-04-21,Warehouse C,Market 2,Air,434
2017-09-03,Warehouse A,Market 2,Air,401
2020-12-20,Warehouse B,Market 3,Truck,439
2021-05-09,Warehouse A,Market 3,Truck,463
2020-07-19,Warehouse C,Market 3,Truck,314
2017-12-24,Warehouse B,Market 1,Rail,129
2022-11-06,Warehouse A,Market 2,Rail,127
2018-10-14,Warehouse C,Market 3,Ship,169
2018-01-14,Warehouse A,Market 1,Air,346
2018-04-29,Warehouse A,Market 1,Air,136
2020-08-09,Warehouse B,Market 1,Rail,495
2019-09-22,Warehouse C,Market 1,Truck,228
2017-01-22,Warehouse B,Market 1,Rail,292
2017-12-17,Warehouse A,Market 3,Ship,184
2017-09-17,Warehouse C,Market 2,Air,37
2022-11-27,Warehouse C,Market 1,Air,160
2020-07-12,Warehouse B,Market 3,Air,32
2022-12-11,Warehouse C,Market 3,Air,201
2021-07-11,Warehouse C,Market 1,Air,388
2018-03-11,Warehouse A,Market 2,Truck,34
2018-04-01,Warehouse B,Market 2,Ship,437
2017-12-10,Warehouse A,Market 2,Air,147
2022-08-07,Warehouse A,Market 2,Ship,66
2019-01-13,Warehouse C,Market 1,Rail,311
2020-02-16,Warehouse A,Market 1,Rail,121
2018-08-19,Warehouse B,Market 2,Rail,103
2021-10-24,Warehouse A,Market 2,Truck,210
2020-04-19,Warehouse C,Market 2,Rail,307
2021-01-17,Warehouse C,Market 3,Ship,102
2020-03-01,Warehouse C,Market 3,Air,276
2017-07-02,Warehouse A,Market 3,Air,373
2022-11-06,Warehouse C,Market 3,Rail,91
2021-10-03,Warehouse B,Market 3,Rail,360
2022-04-03,Warehouse A,Market 1,Rail,194
2017-08-06,Warehouse A,Market 2,Ship,342
2018-07-29,Warehouse A,Market 1,Rail,372
2019-04-28,Warehouse A,Market 3,Air,320
2018-02-18,Warehouse C,Market 2,Air,404
2022-12-04,Warehouse A,Market 1,Truck,200
2018-03-11,Warehouse B,Market 2,Air,315
2021-03-28,Warehouse B,Market 1,Ship,70
2019-03-10,Warehouse B,Market 3,Air,166
2020-08-09,Warehouse B,Market 3,Rail,88
2017-02-05,Warehouse C,Market 2,Air,55
2022-10-23,Warehouse A,Market 2,Ship,485
2020-08-16,Warehouse A,Market 3,Air,386
2020-12-27,Warehouse A,Market 2,Ship,288
2019-11-24,Warehouse B,Market 3,Ship,83
2019-03-03,Warehouse A,Market 2,Air,391
2019-02-03,Warehouse B,Market 2,Ship,241
2022-07-10,Warehouse A,Market 2,Truck,134
2017-07-23,Warehouse B,Market 2,Rail,140
2021-04-25,Warehouse C,Market 1,Truck,479
2022-06-19,Warehouse B,Market 3,Rail,228
2020-02-23,Warehouse C,Market 1,Truck,115
2019-09-01,Warehouse B,Market 1,Rail,254
2018-08-05,Warehouse A,Market 2,Rail,444
2020-09-27,Warehouse B,Market 3,Rail,111
2020-08-16,Warehouse A,Market 1,Air,355
2020-06-14,Warehouse B,Market 2,Air,210
2018-02-04,Warehouse B,Market 3,Rail,446
2020-06-14,Warehouse B,Market 2,Rail,213
2018-03-25,Warehouse C,Market 3,Rail,229
2017-08-13,Warehouse C,Market 1,Ship,258
2020-01-05,Warehouse B,Market 2,Ship,212
2020-04-12,Warehouse C,Market 1,Truck,184
2022-10-09,Warehouse A,Market 2,Rail,223
2019-10-13,Warehouse A,Market 2,Rail,386
2022-01-16,Warehouse B,Market 3,Rail,221
2020-11-15,Warehouse A,Market 1,Ship,415
2017-03-19,Warehouse B,Market 1,Air,250
2017-01-29,Warehouse C,Market 1,Ship,390
2020-06-28,Warehouse B,Market 3,Air,301
2021-08-22,Warehouse B,Market 1,Truck,58
2018-04-22,Warehouse B,Market 1,Truck,355
2018-09-30,Warehouse C,Market 3,Ship,221
2022-08-07,Warehouse C,Market 1,Rail,303
