,Manufacturer,Model,Memory_Size_GB,Core_Clock_MHz,Boost_Clock_MHz,Memory_Type,TDP_Watts,Price_USD
0,AMD,GX500-1,8,2500,1500,GDDR6X,222,419
1,Intel,GX500-2,12,2500,1500,GDDR5,95,916
2,NVIDIA,GX500-3,8,1000,3000,GDDR5,196,1453
3,Intel,GX500-4,8,2000,3000,GDDR5,96,610
4,AMD,GX500-5,24,2500,2500,GDDR5,111,827
5,Intel,GX500-6,4,2000,3000,GDDR5,61,786
6,AMD,GX500-7,16,2500,2000,GDDR6X,93,1345
7,AMD,GX500-8,12,2500,1500,GDDR6X,140,898
8,AMD,GX500-9,4,2000,2000,GDDR5,74,1464
9,Intel,GX500-10,16,2500,1500,GDDR6X,172,640
10,AMD,GX500-11,16,1000,2500,GDDR5,160,211
11,Intel,GX500-12,4,1500,1500,GDDR5,226,639
12,Intel,GX500-13,4,2000,1500,GDDR5,284,241
13,Intel,GX500-14,8,2000,3000,GDDR5,79,362
14,AMD,GX500-15,12,1500,3000,GDDR5,285,339
15,NVIDIA,GX500-16,8,2000,1500,GDDR6,76,820
16,Intel,GX500-17,4,1000,1500,GDDR5,146,1412
17,Intel,GX500-18,16,2000,2000,GDDR5,250,1142
18,Intel,GX500-19,8,2000,1500,GDDR6,197,1057
19,AMD,GX500-20,12,1000,2000,GDDR6,95,516
20,NVIDIA,RT300-1,16,2000,2500,GDDR5,204,639
21,AMD,RT300-2,16,1500,1500,GDDR6,272,1409
22,Intel,RT300-3,8,2000,2500,GDDR5,254,356
23,NVIDIA,RT300-4,16,2000,3000,GDDR5,292,805
24,Intel,RT300-5,16,1000,1500,GDDR5,61,1095
25,Intel,RT300-6,12,1000,2000,GDDR6X,125,1116
26,Intel,RT300-7,16,2500,1500,GDDR5,238,330
27,Intel,RT300-8,4,2000,3000,GDDR6X,101,1187
28,AMD,RT300-9,12,2500,1500,GDDR6,75,1250
29,Intel,RT300-10,4,1500,2500,GDDR6,88,232
30,Intel,RT300-11,4,2000,2500,GDDR6,120,1423
31,Intel,RT300-12,16,2000,3000,GDDR5,298,710
32,NVIDIA,RT300-13,4,2500,3000,GDDR6X,123,1109
33,AMD,RT300-14,24,2000,1500,GDDR6X,127,338
34,Intel,RT300-15,24,2000,1500,GDDR5,162,816
35,NVIDIA,RT300-16,8,2500,3000,GDDR6,216,791
36,Intel,RT300-17,4,1500,1500,GDDR6,154,1040
37,NVIDIA,RT300-18,16,1000,1500,GDDR5,191,795
38,Intel,RT300-19,24,1500,1500,GDDR5,77,214
39,AMD,RT300-20,4,1000,1500,GDDR6X,192,943
40,NVIDIA,AX900-1,4,1000,1500,GDDR5,298,640
41,NVIDIA,AX900-2,24,1500,2500,GDDR6X,256,710
42,Intel,AX900-3,16,2000,2500,GDDR6X,129,784
43,Intel,AX900-4,4,1500,2500,GDDR6X,78,214
44,Intel,AX900-5,12,2500,1500,GDDR5,206,503
45,NVIDIA,AX900-6,4,1500,1500,GDDR6X,203,793
46,Intel,AX900-7,8,2500,1500,GDDR6X,100,246
47,NVIDIA,AX900-8,24,2500,3000,GDDR6,219,725
48,NVIDIA,AX900-9,12,2000,1500,GDDR6,164,786
49,AMD,AX900-10,24,1000,2500,GDDR6X,219,982
50,Intel,AX900-11,24,1000,3000,GDDR5,239,374
51,NVIDIA,AX900-12,4,2500,2500,GDDR6X,288,814
52,NVIDIA,AX900-13,24,1000,3000,GDDR6,98,1149
53,Intel,AX900-14,4,1500,2500,GDDR6X,182,1250
54,Intel,AX900-15,4,2500,2500,GDDR6,97,1172
55,Intel,AX900-16,4,2000,2000,GDDR6,266,718
56,NVIDIA,AX900-17,12,1500,1500,GDDR6,57,620
57,Intel,AX900-18,4,2500,1500,GDDR5,287,422
58,Intel,AX900-19,12,1000,1500,GDDR6X,226,609
59,NVIDIA,AX900-20,24,2000,2000,GDDR5,201,1354
60,NVIDIA,Pro1000-1,16,2000,3000,GDDR5,241,279
61,AMD,Pro1000-2,8,1500,1500,GDDR5,256,1254
62,Intel,Pro1000-3,12,2000,2000,GDDR6X,295,1307
63,AMD,Pro1000-4,8,1000,3000,GDDR6,133,1220
64,Intel,Pro1000-5,16,2000,3000,GDDR5,114,765
65,AMD,Pro1000-6,12,2500,2500,GDDR6X,226,1463
66,AMD,Pro1000-7,16,2500,3000,GDDR6X,183,1085
67,NVIDIA,Pro1000-8,24,2500,3000,GDDR5,88,1132
68,Intel,Pro1000-9,24,1500,1500,GDDR6X,88,1314
69,NVIDIA,Pro1000-10,24,1000,1500,GDDR5,83,782
70,AMD,Pro1000-11,8,1500,2500,GDDR6,100,1142
71,AMD,Pro1000-12,12,1500,2500,GDDR6X,84,1404
72,AMD,Pro1000-13,24,1000,3000,GDDR6,300,779
