Date,Origin,Destination,Transport Mode,Quantity
2022-07-10,Mine C,Plant 2,Rail,345
2018-07-01,Mine D,Plant 1,Rail,766
2020-09-27,Mine A,Plant 1,Truck,713
2018-09-23,Mine B,Plant 2,Barge,385
2021-11-14,Mine D,Plant 3,Truck,973
2020-04-12,Mine D,Plant 4,Barge,157
2022-10-16,Mine C,Plant 2,Barge,396
2021-04-04,Mine B,Plant 2,Barge,505
2019-12-01,Mine B,Plant 2,Truck,458
2020-06-21,Mine C,Plant 4,Rail,753
2017-10-15,Mine B,Plant 1,Barge,196
2017-01-29,Mine D,Plant 2,Barge,185
2018-02-04,Mine D,Plant 4,Rail,228
2022-10-16,Mine A,Plant 2,Rail,678
2022-07-31,Mine D,Plant 2,Barge,436
2021-06-13,Mine C,Plant 2,Barge,499
2017-02-12,Mine C,Plant 3,Barge,595
2018-03-11,Mine C,Plant 4,Truck,681
2017-04-16,Mine B,Plant 2,Truck,848
2019-05-12,Mine A,Plant 2,Rail,467
2019-12-29,Mine D,Plant 1,Barge,327
2018-03-25,Mine A,Plant 1,Truck,433
2021-08-08,Mine B,Plant 3,Barge,897
2022-10-02,Mine D,Plant 3,Barge,495
2018-02-25,Mine B,Plant 3,Rail,474
2021-08-29,Mine D,Plant 2,Rail,696
2020-07-19,Mine B,Plant 3,Barge,426
2020-04-19,Mine A,Plant 4,Barge,579
2020-08-30,Mine C,Plant 3,Truck,759
2021-04-18,Mine B,Plant 2,Truck,999
2020-05-31,Mine B,Plant 1,Barge,308
2019-10-06,Mine D,Plant 1,Barge,982
2018-04-01,Mine D,Plant 4,Rail,755
2020-08-30,Mine D,Plant 4,Rail,545
2018-07-01,Mine D,Plant 3,Rail,275
2022-12-18,Mine B,Plant 3,Rail,905
2022-11-27,Mine C,Plant 3,Barge,524
2022-10-23,Mine D,Plant 4,Barge,913
2019-08-18,Mine D,Plant 2,Truck,955
2018-11-11,Mine C,Plant 2,Barge,413
2018-07-29,Mine C,Plant 1,Truck,738
2018-04-29,Mine A,Plant 2,Barge,194
2021-05-30,Mine A,Plant 3,Rail,391
2022-07-31,Mine B,Plant 4,Truck,611
2022-07-03,Mine C,Plant 1,Barge,389
2021-11-28,Mine C,Plant 4,Rail,897
2017-01-22,Mine B,Plant 3,Truck,462
2020-09-27,Mine A,Plant 3,Truck,706
2022-03-27,Mine D,Plant 1,Barge,247
2021-07-18,Mine B,Plant 1,Rail,802
2020-03-15,Mine A,Plant 1,Rail,520
2019-09-29,Mine C,Plant 3,Truck,945
2020-02-02,Mine B,Plant 2,Barge,107
2020-05-03,Mine C,Plant 2,Barge,327
2022-01-16,Mine C,Plant 4,Truck,276
2021-08-22,Mine B,Plant 3,Truck,150
2018-06-10,Mine D,Plant 4,Barge,746
2021-08-29,Mine A,Plant 1,Rail,483
2021-09-12,Mine B,Plant 4,Barge,369
2021-09-19,Mine B,Plant 3,Truck,831
