Date,Origin,Destination,Transport Mode,Quantity
2021-01-03,Farm C,Silo 2,Rail,478
2019-11-24,Farm B,Silo 1,Truck,323
2018-03-25,Farm C,Silo 3,Rail,184
2017-11-19,Farm C,Silo 3,Rail,329
2022-02-27,Farm A,Silo 3,Truck,296
2022-10-30,Farm B,Silo 2,Truck,244
2022-04-03,Farm C,Silo 2,Rail,169
2020-10-04,Farm C,Silo 2,Rail,187
2017-06-11,Farm C,Silo 1,Rail,150
2019-06-02,Farm C,Silo 2,Rail,391
2019-10-27,Farm B,Silo 2,Rail,73
2021-10-03,Farm C,Silo 2,Rail,94
2022-11-20,Farm B,Silo 2,Truck,373
2019-12-15,Farm B,Silo 2,Rail,253
2020-01-26,Farm C,Silo 1,Rail,341
2019-05-12,Farm B,Silo 3,Rail,463
2022-10-09,Farm C,Silo 2,Rail,214
2022-10-30,Farm C,Silo 1,Rail,200
2020-09-13,Farm C,Silo 3,Truck,113
2019-07-21,Farm C,Silo 3,Rail,242
2022-11-27,Farm A,Silo 1,Truck,481
2020-04-05,Farm C,Silo 1,Rail,68
2020-10-11,Farm A,Silo 2,Rail,156
2017-03-19,Farm B,Silo 3,Rail,286
2020-12-27,Farm C,Silo 1,Truck,133
2021-01-31,Farm B,Silo 3,Truck,431
2020-01-05,Farm A,Silo 2,Truck,347
2022-02-27,Farm B,Silo 2,Truck,199
2020-05-17,Farm C,Silo 3,Rail,54
2019-06-09,Farm A,Silo 2,Rail,94
2021-07-11,Farm A,Silo 3,Rail,241
2019-02-17,Farm C,Silo 2,Rail,379
2021-06-06,Farm B,Silo 3,Rail,66
2017-10-22,Farm B,Silo 2,Truck,490
2019-11-17,Farm C,Silo 2,Rail,83
2020-08-02,Farm A,Silo 1,Rail,85
2019-02-24,Farm B,Silo 2,Rail,73
2022-04-10,Farm B,Silo 3,Rail,129
2022-06-12,Farm A,Silo 3,Truck,466
2017-06-04,Farm B,Silo 2,Rail,379
2017-07-09,Farm C,Silo 2,Truck,462
2017-04-02,Farm C,Silo 1,Truck,209
2019-04-07,Farm B,Silo 1,Rail,247
2020-05-24,Farm A,Silo 2,Rail,383
2018-03-18,Farm B,Silo 3,Truck,249
2020-09-06,Farm A,Silo 1,Rail,235
2020-09-20,Farm B,Silo 3,Rail,440
2021-12-19,Farm B,Silo 3,Rail,362
2019-03-24,Farm C,Silo 2,Rail,339
2017-10-08,Farm B,Silo 1,Truck,310
2018-07-15,Farm A,Silo 3,Rail,387
2020-01-12,Farm C,Silo 1,Rail,424
2022-04-03,Farm C,Silo 1,Rail,496
2017-02-05,Farm C,Silo 2,Truck,248
2018-04-29,Farm C,Silo 2,Truck,100
2022-06-12,Farm C,Silo 3,Rail,412
2019-09-29,Farm C,Silo 2,Rail,312
2018-11-18,Farm C,Silo 3,Rail,83
2022-08-14,Farm B,Silo 2,Rail,54
2018-05-27,Farm A,Silo 3,Rail,406
2017-10-15,Farm B,Silo 1,Rail,224
2021-08-22,Farm A,Silo 1,Truck,328
2018-11-11,Farm C,Silo 3,Rail,413
2019-06-23,Farm C,Silo 3,Rail,408
2018-12-16,Farm C,Silo 2,Truck,367
2019-10-27,Farm B,Silo 2,Rail,277
2017-01-08,Farm A,Silo 3,Truck,266
2022-01-02,Farm C,Silo 2,Rail,466
2020-08-23,Farm A,Silo 2,Truck,231
2020-03-29,Farm C,Silo 1,Rail,396
2017-03-26,Farm B,Silo 2,Truck,262
2021-04-18,Farm C,Silo 3,Truck,493
2021-07-04,Farm B,Silo 1,Rail,463
2017-08-06,Farm C,Silo 3,Truck,376
